time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.009951,0.020643,-0.051584,-0.188504
0.044803,0.021867,-0.052263,-0.179709
0.074710,0.023199,-0.054985,-0.169691
0.109622,0.025270,-0.054393,-0.162237
0.139504,0.024190,-0.054702,-0.154864
0.174355,0.025079,-0.053147,-0.149893
0.209267,0.026831,-0.056004,-0.145524
0.244118,0.029249,-0.056841,-0.142486
0.274026,0.029792,-0.056810,-0.140267
0.308938,0.028795,-0.055991,-0.137105
0.343789,0.030640,-0.059488,-0.133112
0.373696,0.032395,-0.059308,-0.133238
0.408608,0.031370,-0.058266,-0.131786
0.443490,0.029563,-0.058989,-0.130092
0.473366,0.031307,-0.059667,-0.130159
0.508279,0.032453,-0.058594,-0.128677
0.543160,0.032152,-0.057103,-0.127022
0.573037,0.033449,-0.059593,-0.127868
0.607949,0.033596,-0.058203,-0.126969
0.642831,0.033336,-0.055937,-0.122221
0.677743,0.033347,-0.055883,-0.121316
0.707619,0.034971,-0.056929,-0.121546
0.742501,0.035442,-0.059973,-0.120952
0.772408,0.034916,-0.059131,-0.122218
0.807320,0.032931,-0.054932,-0.121892
0.842171,0.032037,-0.055972,-0.122126
0.877083,0.031617,-0.056794,-0.124229
0.906991,0.031555,-0.057874,-0.123339
0.941842,0.029999,-0.057740,-0.121551
0.976754,0.029907,-0.058565,-0.120296
1.011605,0.029651,-0.061162,-0.120374
1.041512,0.028741,-0.061001,-0.120997
1.076424,0.027001,-0.056634,-0.122643
1.106331,0.025636,-0.058275,-0.122429
1.141204,0.027127,-0.060251,-0.122951
1.176116,0.026860,-0.058027,-0.124703
1.206023,0.026927,-0.058412,-0.125841
1.240904,0.030925,-0.063782,-0.122541
1.275786,0.030274,-0.062952,-0.125228
1.305693,0.024312,-0.055050,-0.126654
1.340575,0.022864,-0.053496,-0.124755
1.375456,0.026883,-0.057254,-0.125714
1.410338,0.028665,-0.056776,-0.124270
1.450194,0.029380,-0.055293,-0.122882
1.475157,0.030601,-0.059868,-0.123745
1.510009,0.033740,-0.059984,-0.121663
1.539916,0.032948,-0.060824,-0.121545
1.574828,0.031044,-0.057474,-0.123047
1.609679,0.030668,-0.062241,-0.123800
1.639586,0.030500,-0.061835,-0.125536
1.674498,0.028941,-0.059402,-0.125143
1.709349,0.027861,-0.056595,-0.125275
1.739257,0.030184,-0.058875,-0.124962
1.774169,0.029989,-0.062197,-0.124008
1.809020,0.029312,-0.059641,-0.123362
1.843932,0.028658,-0.061105,-0.121333
1.873839,0.029360,-0.059786,-0.122501
1.908721,0.028516,-0.060545,-0.121856
1.943602,0.028506,-0.059349,-0.122244
1.973509,0.028984,-0.061142,-0.122512
2.008391,0.030416,-0.061249,-0.120946
2.038298,0.030861,-0.064691,-0.118727
2.073180,0.028555,-0.060571,-0.118301
2.108061,0.027268,-0.060884,-0.117807
2.142963,0.027686,-0.061866,-0.118260
2.177814,0.029084,-0.063961,-0.121193
2.207721,0.026473,-0.054324,-0.124925
2.242633,0.025715,-0.055882,-0.127205
2.277484,0.022248,-0.055737,-0.125824
2.307391,0.024016,-0.056597,-0.123807
2.342303,0.024792,-0.054912,-0.122013
2.377154,0.023374,-0.053570,-0.121502
2.407062,0.025163,-0.056183,-0.121043
2.441974,0.025514,-0.056816,-0.121270
2.476825,0.023505,-0.056646,-0.121485
2.506732,0.022932,-0.056418,-0.124385
2.541644,0.024283,-0.058143,-0.125993
2.576526,0.024138,-0.056323,-0.125277
2.606403,0.022045,-0.054000,-0.125240
2.636310,0.023176,-0.054144,-0.126705
2.676196,0.024444,-0.054953,-0.124690
2.706103,0.025824,-0.052387,-0.123304
2.740985,0.025142,-0.051276,-0.125686
2.775867,0.027050,-0.053967,-0.124863
2.805774,0.027893,-0.053292,-0.124863
2.840655,0.028348,-0.052853,-0.122875
2.875537,0.028158,-0.052651,-0.123736
2.905444,0.028528,-0.055009,-0.122764
2.935352,0.026961,-0.052771,-0.123192
2.975207,0.027362,-0.052440,-0.121356
3.005115,0.027682,-0.052503,-0.121343
3.040027,0.029058,-0.051383,-0.120884
3.074878,0.029090,-0.050984,-0.121451
3.104785,0.028189,-0.048388,-0.120825
3.134692,0.028612,-0.050161,-0.120332
3.174535,0.027597,-0.048545,-0.120571
3.209447,0.026560,-0.049256,-0.121396
3.239355,0.025425,-0.048181,-0.121098
3.274206,0.026922,-0.049608,-0.120244
3.309118,0.028024,-0.050631,-0.120624
3.343999,0.028001,-0.050085,-0.121035
3.373907,0.026858,-0.050545,-0.120275
3.408788,0.026037,-0.047566,-0.121356
3.448675,0.025573,-0.048840,-0.121662
3.473577,0.025943,-0.047900,-0.121539
3.508459,0.026986,-0.050246,-0.122716
3.543340,0.027260,-0.049853,-0.121181
3.573247,0.028131,-0.052499,-0.122239
3.608160,0.026098,-0.052251,-0.120131
3.643011,0.025716,-0.051529,-0.121938
3.672918,0.026480,-0.050898,-0.122866
3.707830,0.024974,-0.051274,-0.122678
3.737737,0.025105,-0.051761,-0.121491
3.772588,0.026009,-0.050010,-0.123274
3.807500,0.027799,-0.050512,-0.122259
3.842351,0.028457,-0.049376,-0.123397
3.872259,0.028249,-0.049071,-0.122791
3.907171,0.027417,-0.047606,-0.122571
3.942022,0.027280,-0.048295,-0.123409
3.971929,0.028614,-0.048812,-0.122973
4.006841,0.027432,-0.048062,-0.122791
4.041723,0.026402,-0.043547,-0.122101
4.071599,0.025933,-0.047158,-0.121189
4.106512,0.026782,-0.046993,-0.120236
4.141393,0.027731,-0.049107,-0.120467
4.176306,0.026404,-0.047801,-0.119960
4.206183,0.026803,-0.048747,-0.120251
4.241065,0.027106,-0.048295,-0.118940
4.275977,0.028048,-0.048025,-0.117646
4.310828,0.030488,-0.051310,-0.117328
4.340735,0.029215,-0.050108,-0.118145
4.375647,0.028620,-0.050492,-0.120620
4.405554,0.027972,-0.047675,-0.121758
4.440405,0.027876,-0.049530,-0.123396
4.475318,0.026562,-0.049634,-0.122640
4.510169,0.026811,-0.047663,-0.122057
4.540076,0.026437,-0.045521,-0.122305
4.574988,0.025889,-0.045488,-0.123009
4.609839,0.023781,-0.045033,-0.121411
4.639746,0.023440,-0.044019,-0.121237
4.674658,0.024222,-0.045668,-0.121324
4.709540,0.025306,-0.046083,-0.121334
4.739417,0.024773,-0.048156,-0.120167
4.774329,0.023800,-0.047204,-0.119915
4.809210,0.025706,-0.048272,-0.119485
4.839118,0.026170,-0.048072,-0.118689
4.873999,0.026305,-0.048376,-0.120251
4.908881,0.027432,-0.048572,-0.119259
4.938788,0.027477,-0.048730,-0.118709
4.973670,0.028006,-0.049904,-0.118430
5.008551,0.028793,-0.048248,-0.118491
5.043463,0.028287,-0.046641,-0.117923
5.073371,0.027053,-0.045685,-0.117800
5.108222,0.026484,-0.044597,-0.118101
5.138129,0.025490,-0.044914,-0.119043
5.173061,0.024337,-0.044069,-0.120192
5.207912,0.022956,-0.043526,-0.119489
5.237819,0.022350,-0.042344,-0.119677
5.277706,0.022635,-0.043191,-0.120073
5.307582,0.022194,-0.041822,-0.121034
5.342495,0.021017,-0.043148,-0.118992
5.377376,0.022775,-0.042778,-0.119123
5.407253,0.025132,-0.043078,-0.119919
5.442165,0.023583,-0.041567,-0.120623
5.477047,0.025085,-0.042569,-0.119708
5.506954,0.024810,-0.041554,-0.119417
5.541835,0.023028,-0.041021,-0.111214
5.576717,0.023998,-0.044066,-0.076158
5.606624,0.020798,-0.043265,-0.001665
5.641536,0.020656,-0.048642,0.072682
5.676387,0.020691,-0.048797,0.110478
5.706295,0.020609,-0.052372,0.142275
5.741207,0.018127,-0.049519,0.181224
5.776058,0.018863,-0.049416,0.227222
5.805965,0.019604,-0.050574,0.270710
5.840877,0.020293,-0.049018,0.297319
5.875728,0.020604,-0.047610,0.314739
5.910640,0.023078,-0.045509,0.329372
5.945522,0.022268,-0.045659,0.344180
5.975399,0.019499,-0.045428,0.355057
6.005306,0.020591,-0.043756,0.359077
6.045192,0.019628,-0.045727,0.363165
6.075069,0.020752,-0.046450,0.367524
6.104976,0.020983,-0.048091,0.369422
6.139888,0.015472,-0.042930,0.370322
6.174760,0.017876,-0.042463,0.364680
6.209641,0.016719,-0.043577,0.366877
6.244523,0.018980,-0.046290,0.365896
6.274430,0.019582,-0.044733,0.364285
6.309342,0.017355,-0.043238,0.363118
6.344193,0.019687,-0.043451,0.353609
6.374101,0.021266,-0.042554,0.348387
6.409013,0.019360,-0.044336,0.346006
6.443864,0.025489,-0.040590,0.335136
6.473771,0.018657,-0.042812,0.329774
6.508683,0.013457,-0.039610,0.322058
6.543534,0.015884,-0.040023,0.312322
6.573442,0.013053,-0.040485,0.307633
6.608354,0.012549,-0.037908,0.299317
6.643205,0.012225,-0.038582,0.291120
6.673112,0.010420,-0.037787,0.285056
6.708024,0.007997,-0.037424,0.275689
6.742875,0.006836,-0.036594,0.269841
6.772782,0.008438,-0.037375,0.263695
6.807694,0.008988,-0.037425,0.254579
6.842576,0.010314,-0.038115,0.246873
6.872453,0.013442,-0.037036,0.236420
6.907365,0.013219,-0.038293,0.230431
6.942246,0.015617,-0.038478,0.226537
6.977159,0.013741,-0.038780,0.221255
7.007035,0.014154,-0.039659,0.211831
7.046922,0.012475,-0.039021,0.205293
7.076829,0.010867,-0.039351,0.195820
7.106706,0.008806,-0.037395,0.187786
7.146577,0.010836,-0.040394,0.183764
7.171480,0.011926,-0.043685,0.180659
7.211335,0.012572,-0.042775,0.172504
7.241243,0.012803,-0.042151,0.167801
7.276155,0.016730,-0.041113,0.160286
7.306062,0.014433,-0.040511,0.150959
7.350892,0.015633,-0.039559,0.139864
7.375825,0.015228,-0.039279,0.132236
7.410676,0.017421,-0.040728,0.128776
7.440584,0.023150,-0.042354,0.122197
7.475496,0.022991,-0.041880,0.118076
7.510377,0.021801,-0.038977,0.112919
7.540254,0.020863,-0.037627,0.109483
7.575166,0.024916,-0.040012,0.103416
7.610048,0.022013,-0.038232,0.090990
7.639955,0.020631,-0.036671,0.078223
7.674836,0.020920,-0.037204,0.068563
7.709718,0.023566,-0.039031,0.064622
7.739625,0.023400,-0.039728,0.058316
7.774507,0.025675,-0.038741,0.057549
7.809388,0.025278,-0.037804,0.057555
7.839296,0.026013,-0.038576,0.053520
7.874208,0.023653,-0.039917,0.042622
7.909059,0.023770,-0.041742,0.033003
7.938966,0.024045,-0.040013,0.022299
7.973878,0.020933,-0.037344,0.016673
8.008729,0.020106,-0.034279,0.009841
8.038637,0.021695,-0.039323,0.006486
8.073549,0.024673,-0.043298,0.007608
8.108400,0.024716,-0.044068,0.005021
8.138307,0.023892,-0.044019,-0.007949
8.173247,0.021316,-0.037698,-0.016308
8.208098,0.019350,-0.032926,-0.025440
8.243010,0.023136,-0.036140,-0.039082
8.272917,0.022102,-0.038805,-0.042310
8.307799,0.019970,-0.042575,-0.050763
8.342681,0.024830,-0.039074,-0.062776
8.377562,0.016089,-0.030726,-0.061935
8.407469,0.014861,-0.029550,-0.045695
8.442351,0.020646,-0.032989,-0.041693
8.477233,0.022051,-0.040159,-0.055878
8.507140,0.019774,-0.041364,-0.076096
8.546996,0.016191,-0.036237,-0.094089
8.576903,0.014791,-0.030223,-0.107095
8.606810,0.014201,-0.030397,-0.119163
8.641722,0.020297,-0.033033,-0.115163
8.676573,0.022782,-0.035311,-0.101922
8.706481,0.019166,-0.037539,-0.085635
8.746337,0.020395,-0.035719,-0.078473
8.776244,0.022612,-0.032373,-0.085502
8.806151,0.023392,-0.030529,-0.102130
8.851042,0.022712,-0.032222,-0.117302
8.875914,0.019046,-0.034367,-0.131012
8.905821,0.019622,-0.036555,-0.134299
8.940734,0.014944,-0.037704,-0.126833
8.975615,0.014820,-0.035673,-0.114940
9.005492,0.017599,-0.032957,-0.104104
9.040404,0.019246,-0.032135,-0.106445
9.075286,0.019839,-0.031388,-0.112706
9.105162,0.023282,-0.038330,-0.115315
9.150040,0.023956,-0.042343,-0.117231
9.174942,0.024551,-0.041380,-0.122936
9.209854,0.024470,-0.032328,-0.126265
9.244705,0.025345,-0.028578,-0.117361
9.274612,0.022570,-0.029297,-0.111182
9.309525,0.022807,-0.034880,-0.108473
9.344376,0.023811,-0.039240,-0.111004
9.374283,0.025558,-0.041277,-0.118111
9.409195,0.025580,-0.037353,-0.122387
9.444046,0.026752,-0.039283,-0.125303
9.473953,0.026488,-0.040655,-0.127739
9.508865,0.022463,-0.044026,-0.124740
9.543716,0.028501,-0.053603,-0.119240
9.573624,0.029232,-0.051124,-0.114676
9.608536,0.023330,-0.048677,-0.114462
9.648392,0.013350,-0.036863,-0.121461
9.673294,0.010416,-0.032973,-0.125536
9.708206,0.014591,-0.038567,-0.127747
9.748093,0.013615,-0.039784,-0.125367
9.777969,0.005838,-0.041813,-0.123925
9.807877,0.006154,-0.040465,-0.126280
9.847763,0.007536,-0.034820,-0.125754
9.872665,0.008317,-0.031071,-0.120237
9.907547,0.008459,-0.034503,-0.113969
9.942429,-0.001972,-0.033647,-0.111911
9.977341,0.003431,-0.032519,-0.113310
10.007248,-0.007022,-0.026865,-0.117437
10.042099,-0.009178,-0.024915,-0.125208
10.077011,0.000526,-0.029489,-0.131633
10.106918,0.001050,-0.030883,-0.130919
10.141769,-0.001630,-0.031191,-0.123723
10.171683,-0.000112,-0.030979,-0.113686
10.206595,0.005006,-0.031007,-0.107242
10.241446,0.010548,-0.030308,-0.107554
10.276358,0.022591,-0.034635,-0.109639
10.311240,0.027361,-0.032917,-0.111875
10.341116,0.018085,-0.032360,-0.118110
10.376028,0.024893,-0.033441,-0.121508
10.410910,0.027126,-0.033343,-0.119911
10.440787,0.024225,-0.032893,-0.119139
10.475699,0.028967,-0.035203,-0.117453
10.510580,0.027409,-0.032466,-0.114104
10.540488,0.025818,-0.030660,-0.110422
10.575369,0.020429,-0.027282,-0.110451
10.610251,0.021676,-0.028762,-0.118513
10.640158,0.024495,-0.027270,-0.126001
10.675040,0.023198,-0.027105,-0.130752
10.709921,0.021209,-0.025013,-0.133264
10.739828,0.019379,-0.023136,-0.129880
10.774740,0.018255,-0.029875,-0.122555
10.809592,0.020936,-0.031943,-0.118969
10.849478,0.019622,-0.026115,-0.118953
10.874411,0.022126,-0.023362,-0.116053
10.909262,0.015839,-0.025531,-0.119403
10.939169,0.016046,-0.029833,-0.126529
10.974081,0.019414,-0.033441,-0.135971
11.008932,0.023055,-0.032051,-0.137095
11.043844,0.025533,-0.031041,-0.130383
11.073752,0.026015,-0.030252,-0.119073
11.108603,0.027147,-0.031027,-0.110896
11.138510,0.028042,-0.034089,-0.109659
11.173410,0.031895,-0.032424,-0.114884
11.208292,0.029796,-0.026534,-0.125006
11.243173,0.022919,-0.025898,-0.128958
11.273081,0.015916,-0.029611,-0.134120
11.307962,0.014489,-0.032074,-0.133735
11.342844,0.018133,-0.027201,-0.121775
11.377725,0.023195,-0.024999,-0.105838
11.407633,0.016712,-0.023674,-0.103165
11.442545,0.023878,-0.026003,-0.110878
11.477396,0.025554,-0.025962,-0.126105
11.507303,0.026786,-0.028958,-0.133320
11.542215,0.018318,-0.026496,-0.132557
11.577066,0.014677,-0.023014,-0.127820
11.606973,0.014239,-0.021401,-0.128590
11.641885,0.017834,-0.023375,-0.123286
11.676737,0.019405,-0.026410,-0.110553
11.706644,0.017224,-0.027299,-0.104063
11.741556,0.014814,-0.021840,-0.111284
11.776407,0.014995,-0.025528,-0.121983
11.806314,0.018362,-0.031617,-0.128097
11.841226,0.011665,-0.035074,-0.128143
11.876108,0.015246,-0.032185,-0.121319
11.905985,0.018205,-0.031206,-0.114892
11.940897,0.022713,-0.037168,-0.106177
11.975778,0.030704,-0.036312,-0.097574
12.005655,0.029369,-0.040440,-0.098301
12.040567,0.026367,-0.039297,-0.111174
12.075449,0.027894,-0.034460,-0.121501
12.110361,0.030292,-0.033508,-0.127317
12.140238,0.027401,-0.034021,-0.128604
12.175121,0.031076,-0.031199,-0.120601
12.210033,0.034406,-0.027139,-0.110491
12.249889,0.028275,-0.025670,-0.104369
12.274792,0.029686,-0.022561,-0.101944
12.309704,0.032596,-0.025340,-0.106877
12.349560,0.028849,-0.023893,-0.117540
12.379467,0.028285,-0.021346,-0.125760
12.409374,0.026863,-0.021850,-0.128061
12.444225,0.030464,-0.024359,-0.121738
12.474132,0.021901,-0.021188,-0.118649
12.509044,0.017706,-0.025020,-0.115573
12.543896,0.018820,-0.025067,-0.116998
12.573803,0.016383,-0.024695,-0.118199
12.608715,0.012672,-0.024247,-0.122647
12.643596,0.015364,-0.019957,-0.128363
12.673473,0.009453,-0.018582,-0.132342
12.708385,0.010658,-0.021133,-0.134427
12.753216,0.018802,-0.023423,-0.134611
12.773174,0.024405,-0.023822,-0.127672
12.808056,0.026873,-0.023955,-0.118025
12.842937,0.018088,-0.020547,-0.111211
12.872845,0.015269,-0.019885,-0.108640
12.907726,0.014541,-0.018269,-0.112038
12.942608,0.011482,-0.012797,-0.119417
12.972515,0.019868,-0.015446,-0.127282
13.007427,0.016881,-0.015872,-0.130752
13.042278,0.008093,-0.014925,-0.124962
13.077190,0.013414,-0.019209,-0.119271
13.107097,0.013831,-0.015098,-0.118903
13.151928,0.021716,-0.018029,-0.116258
13.171868,0.023801,-0.018251,-0.113904
13.206780,0.015127,-0.019236,-0.115884
13.241631,0.006954,-0.016941,-0.119933
13.276543,0.014782,-0.016414,-0.125285
13.306450,0.013990,-0.013322,-0.128011
13.341301,0.010514,-0.013812,-0.123850
13.376213,0.015530,-0.015010,-0.115985
13.406121,0.005734,-0.013861,-0.116298
13.441002,-0.003438,-0.012907,-0.117336
13.475884,0.005900,-0.014863,-0.122714
13.510765,0.006876,-0.015386,-0.128477
13.540673,0.004073,-0.016047,-0.133011
13.575554,0.005957,-0.018947,-0.130056
13.610436,0.009383,-0.019557,-0.126326
13.640343,0.016433,-0.022367,-0.121182
13.675255,0.017604,-0.021050,-0.116667
13.710106,0.019361,-0.020928,-0.116195
13.740013,0.018315,-0.020244,-0.117009
13.774926,0.017944,-0.020625,-0.119610
13.809777,0.015843,-0.022637,-0.121283
13.839684,0.016479,-0.026152,-0.123978
13.874596,0.018067,-0.024271,-0.123316
13.909447,0.017711,-0.024549,-0.123796
13.939354,0.021085,-0.027537,-0.121194
13.974266,0.018096,-0.027626,-0.116568
14.009117,0.019921,-0.028589,-0.113843
14.039025,0.021561,-0.029994,-0.117515
14.073937,0.020512,-0.028299,-0.118438
14.108818,0.020227,-0.028132,-0.118203
14.143700,0.019552,-0.026558,-0.120737
14.173605,0.021137,-0.022707,-0.121713
14.208487,0.022929,-0.022544,-0.122442
14.238364,0.021952,-0.020288,-0.118727
14.273276,0.025751,-0.023398,-0.120374
14.308157,0.026792,-0.021713,-0.124585
14.343069,0.028638,-0.023001,-0.124133
14.377920,0.029517,-0.022610,-0.122869
14.407828,0.027338,-0.021020,-0.122811
14.442740,0.026699,-0.024611,-0.124451
14.477591,0.031142,-0.025139,-0.123312
14.507498,0.027672,-0.021418,-0.121460
14.542410,0.024077,-0.020771,-0.121710
14.577261,0.029296,-0.024113,-0.119381
14.607168,0.028391,-0.021581,-0.121938
14.642081,0.023345,-0.020701,-0.126568
14.676932,0.024484,-0.019989,-0.124871
14.706839,0.021097,-0.019519,-0.123780
14.741751,0.018227,-0.020527,-0.116881
14.776602,0.015058,-0.024115,-0.108188
14.806509,0.011804,-0.022566,-0.103603
14.841421,0.014181,-0.019624,-0.110403
14.876303,0.021683,-0.026527,-0.125766
14.906180,0.026405,-0.026158,-0.140923
14.941092,0.026262,-0.019659,-0.148228
14.975973,0.025113,-0.019430,-0.144613
15.005881,0.021951,-0.020807,-0.135059
15.040762,0.016709,-0.019311,-0.114343
15.075644,0.012511,-0.021574,-0.099173
15.105551,0.010716,-0.025504,-0.090168
15.140433,0.013486,-0.025491,-0.096214
15.175304,0.019876,-0.026507,-0.110312
15.205211,0.024868,-0.024550,-0.123721
15.240124,0.027091,-0.021123,-0.130105
15.274975,0.030438,-0.021436,-0.131986
15.309887,0.028275,-0.022740,-0.126246
15.339794,0.022930,-0.019885,-0.116923
15.374645,0.016871,-0.020410,-0.109273
15.409557,0.013460,-0.024144,-0.108233
15.444408,0.013321,-0.024336,-0.114630
15.474315,0.014980,-0.024266,-0.116908
15.509228,0.019633,-0.025210,-0.120912
15.544109,0.030312,-0.026593,-0.126204
15.573986,0.038049,-0.027216,-0.123964
15.608898,0.039170,-0.030141,-0.117727
15.643780,0.034836,-0.025189,-0.112895
15.673656,0.029023,-0.023756,-0.110762
15.708568,0.028142,-0.022231,-0.121333
15.753399,0.022538,-0.020378,-0.163100
15.773357,0.016523,-0.017620,-0.212626
15.808239,0.019170,-0.015950,-0.258560
15.848125,0.021276,-0.017684,-0.287842
15.873028,0.020755,-0.017905,-0.314246
15.907909,0.026198,-0.020110,-0.343932
15.942791,0.020855,-0.019036,-0.369784
15.972698,0.018525,-0.019227,-0.397565
16.007610,0.020162,-0.019047,-0.433456
16.042461,0.024810,-0.016260,-0.470653
16.072368,0.025525,-0.020567,-0.508202
16.107281,0.036856,-0.021081,-0.543252
16.142132,0.041125,-0.021045,-0.572054
16.172051,0.034641,-0.019614,-0.602664
16.206963,0.039243,-0.020299,-0.627961
16.251793,0.042615,-0.022597,-0.657256
16.271721,0.037659,-0.025609,-0.683242
16.306633,0.029998,-0.021359,-0.709428
16.341484,0.028576,-0.022156,-0.737047
16.376397,0.028125,-0.021244,-0.760486
16.406304,0.023093,-0.017884,-0.786990
16.441185,0.025662,-0.019215,-0.814753
16.476067,0.021407,-0.018298,-0.841907
16.510949,0.019660,-0.016401,-0.862724
16.540856,0.024583,-0.018298,-0.877853
16.575737,0.020828,-0.020124,-0.893279
16.610619,0.019570,-0.018911,-0.909345
16.640526,0.020275,-0.020305,-0.924911
16.675438,0.020460,-0.019746,-0.941866
16.710289,0.022615,-0.019951,-0.953492
16.740197,0.022561,-0.018528,-0.963329
16.775109,0.023691,-0.021769,-0.969751
16.809960,0.025377,-0.022181,-0.969591
16.839867,0.022477,-0.020722,-0.959685
16.874779,0.023596,-0.021931,-0.930180
16.909630,0.024232,-0.021870,-0.886741
16.939537,0.025696,-0.020234,-0.833689
16.974450,0.031333,-0.020834,-0.765471
17.009301,0.032708,-0.021946,-0.688335
17.039208,0.030347,-0.023331,-0.611915
17.074120,0.030306,-0.024857,-0.528713
17.108971,0.026822,-0.024572,-0.446558
17.138878,0.024552,-0.024676,-0.366606
17.173782,0.022993,-0.024352,-0.293329
17.208664,0.017372,-0.022460,-0.230799
17.238541,0.011525,-0.022086,-0.180324
17.273453,0.006188,-0.022239,-0.145930
17.308334,0.000663,-0.023427,-0.121238
17.343246,-0.000701,-0.024838,-0.111425
17.378098,-0.003151,-0.027270,-0.106561
17.408005,-0.007545,-0.026231,-0.103718
17.442917,-0.006715,-0.025856,-0.102392
17.477768,-0.003785,-0.026586,-0.101917
17.507675,0.000950,-0.028244,-0.103327
17.542587,0.005683,-0.028208,-0.112593
17.577438,0.011421,-0.031026,-0.120984
17.607346,0.016440,-0.027466,-0.132238
17.642258,0.026648,-0.025567,-0.145112
17.677109,0.034767,-0.028284,-0.148537
17.707016,0.040549,-0.027045,-0.151045
17.741928,0.045275,-0.028464,-0.154008
17.776779,0.055627,-0.031822,-0.160844
17.806686,0.064618,-0.030025,-0.169440
17.846573,0.066459,-0.024799,-0.170802
17.876480,0.066784,-0.021090,-0.169256
17.906357,0.065994,-0.024487,-0.163464
17.941269,0.059415,-0.027927,-0.154759
17.976151,0.046443,-0.035110,-0.146015
18.006027,0.026268,-0.037639,-0.140743
18.040939,0.006969,-0.030727,-0.135434
18.075821,-0.008245,-0.028294,-0.131674
18.105728,-0.022482,-0.025790,-0.127232
18.140610,-0.028282,-0.020562,-0.122013
18.175481,-0.031561,-0.022650,-0.118630
18.205389,-0.030047,-0.027965,-0.118999
18.240301,-0.018459,-0.027663,-0.120854
18.275152,-0.008662,-0.027721,-0.118510
18.310064,-0.011098,-0.027950,-0.108868
18.339971,-0.000618,-0.024537,-0.105178
18.374822,0.012933,-0.022286,-0.105072
18.409734,0.023111,-0.020729,-0.112185
18.444585,0.034383,-0.023566,-0.117747
18.474493,0.041315,-0.026067,-0.124311
18.509405,0.046937,-0.029106,-0.125448
18.539312,0.048310,-0.030373,-0.124691
18.574163,0.046688,-0.027848,-0.121350
18.609075,0.043828,-0.025636,-0.119598
18.643957,0.038399,-0.022267,-0.119507
18.673833,0.033889,-0.021028,-0.121930
18.713720,0.028537,-0.022126,-0.123964
18.743627,0.020011,-0.024805,-0.125344
18.773534,0.014941,-0.026350,-0.123407
18.808416,0.008662,-0.023158,-0.119908
18.843297,0.003168,-0.019590,-0.116545
18.873205,0.002080,-0.017475,-0.116056
18.908086,-0.000616,-0.019745,-0.117240
18.942968,0.000602,-0.021816,-0.119174
18.977880,0.003526,-0.021904,-0.121195
19.007787,0.007085,-0.022323,-0.119550
19.042638,0.012848,-0.022569,-0.117754
19.072546,0.017958,-0.021929,-0.115829
19.107458,0.023341,-0.021605,-0.118498
19.142309,0.028663,-0.022781,-0.119652
19.177226,0.032778,-0.023949,-0.123463
19.207133,0.036718,-0.024904,-0.127350
19.241984,0.038984,-0.023583,-0.130489
19.276896,0.038394,-0.022206,-0.128776
19.306803,0.038450,-0.019624,-0.125470
19.341655,0.036760,-0.020881,-0.122188
19.376567,0.033603,-0.019804,-0.121341
19.406474,0.029552,-0.020083,-0.121342
19.441325,0.026614,-0.022174,-0.123011
19.476237,0.023473,-0.023227,-0.124335
19.511119,0.017852,-0.021861,-0.122818
19.541026,0.015717,-0.021369,-0.120984
19.575907,0.013252,-0.020079,-0.120695
19.605815,0.010494,-0.019711,-0.130173
19.640696,0.011011,-0.021926,-0.152706
19.675578,0.012500,-0.023192,-0.191965
19.710459,0.015468,-0.024405,-0.231729
19.740367,0.018930,-0.025205,-0.262477
19.775279,0.022311,-0.022741,-0.280110
19.810130,0.024937,-0.021613,-0.291783
19.840037,0.028327,-0.022241,-0.306363
19.874949,0.037354,-0.024057,-0.289425
19.909800,0.036294,-0.026712,-0.246324
19.939708,0.035329,-0.025861,-0.229689
19.974620,0.040004,-0.025641,-0.213934
20.009471,0.036388,-0.024525,-0.201242
20.039378,0.034145,-0.026650,-0.197504
20.074290,0.026745,-0.025605,-0.178095
20.109141,0.021617,-0.023950,-0.170930
20.149028,0.022453,-0.024763,-0.165558
20.173975,0.021321,-0.025798,-0.152188
20.208857,0.020139,-0.026718,-0.149536
20.238734,0.021797,-0.023831,-0.145979
20.273646,0.023008,-0.020468,-0.143679
20.308527,0.025261,-0.022459,-0.139334
20.343409,0.024100,-0.025029,-0.135931
20.373316,0.022652,-0.021836,-0.134104
20.408198,0.019545,-0.020306,-0.132089
20.443110,0.019661,-0.022272,-0.131217
20.477961,0.022521,-0.023049,-0.130470
20.507868,0.023641,-0.023433,-0.127028
20.542780,0.022418,-0.020621,-0.124870
20.572657,0.015105,-0.011927,-0.127786
20.607539,0.009403,-0.008737,-0.124022
20.642451,0.009021,-0.015490,-0.121566
20.677302,0.012152,-0.024721,-0.119931
20.707209,0.012968,-0.036846,-0.120581
20.742121,0.018642,-0.035558,-0.120860
20.776972,0.029832,-0.029234,-0.119794
20.806880,0.041056,-0.027017,-0.124567
20.846766,0.050423,-0.018676,-0.131821
20.876643,0.051338,-0.018560,-0.131796
20.906550,0.047546,-0.018947,-0.128847
20.951441,0.045953,-0.018160,-0.130872
20.976344,0.039796,-0.018778,-0.131840
21.006220,0.030366,-0.019854,-0.129441
21.041132,0.005355,-0.051697,-0.167371
21.076014,0.013879,-0.024915,-0.173662
21.105921,0.019398,-0.021566,-0.168388
21.140803,0.001994,-0.034063,-0.162855
